Single,Rank,Name,Team,Votes
3,11,宮澤佐江,K,33500
3,12,高城亜樹,A,31009
3,13,北原里英,B,27957
3,14,松井珠理奈,S,27804
3,15,峯岸みなみ,K,26070
3,16,河西智美,B,22857
3,17,秋元才加,K,17154
3,18,佐藤亜美菜,B,16574
3,19,横山由依,K,16455
3,20,増田有華,B,14137
3,21,倉持明日香,A,12387
3,22,梅田彩佳,K,11860
3,23,高柳明音,KII,11674
3,24,仲川遥香,A,10854
3,25,多田愛佳,A,9910
3,26,平嶋夏海,B,9742
3,27,宮崎美穂,B,9271
3,28,山本彩,N,8697
3,29,大家志津香,A,7264
3,30,大矢真那,S,6660
3,31,仁藤萌乃,K,6288
3,32,小森美果,B,6120
3,33,秦佐和子,KII,6117
3,34,佐藤すみれ,B,5438
3,35,大場美奈,4,5411
3,36,須田亜香里,S,5343
3,37,前田亜美,A,5220
3,38,松井咲子,K,5020
3,39,市川美織,4,4928
3,40,藤江れいな,K,4698
4,1,大島優子,K,108837
4,2,渡辺麻友,B,72574
4,3,柏木由紀,B,71076
4,4,指原莉乃,A,67339
4,5,篠田麻里子,A,67017
4,6,高橋みなみ,A,65480
4,7,小嶋陽菜,A,54483
4,8,板野友美,K,50483
4,9,松井珠理奈,SK,45747
4,10,松井玲奈,S,42030
4,11,宮澤佐江,K,40261
4,12,河西智美,B,27005
4,13,北原里英,B,26531
4,14,峯岸みなみ,K,26038
4,15,横山由依,K,25541
4,16,梅田彩佳,K,24522
4,17,高城亜樹,A,23083
4,18,山本彩,N,23020
4,19,渡辺美優紀,NB,19159
4,20,秋元才加,K,19121
4,21,佐藤亜美菜,B,17009
4,22,倉持明日香,A,14852
4,23,島崎遥香,4,14633
4,24,高柳明音,KII,14111
4,25,秦佐和子,KII,13920
4,26,増田有華,B,13166
4,27,大矢真那,S,12142
4,28,矢神久美,S,11712
4,29,須田亜香里,S,11323
4,30,古川愛李,KII,11179
4,31,木﨑ゆりあ,S,10554
4,32,小木曽汐莉,KII,9596
4,33,岩佐美咲,A,9297
4,34,松村香織,kenkyuusei,9030
4,35,向田茉夏,KII,8552
4,36,仲谷明香,A,8505
4,37,中田ちさと,A,8315
4,38,宮崎美穂,B,8173
4,39,永尾まりや,4,7809
4,40,藤江れいな,K,7782
